year,month,day,suffix,metadata
2025,12,6,2513,20251206_002820_22_2513
2025,11,10,2523,20251110_002925_16_2523
2025,10,6,2540,20251006_003301_45_2540
2025,9,4,24fb,20250904_003701_07_24fb
2025,8,5,2521,20250805_002312_31_2521
2025,7,13,2538,20250713_002904_12_2538
2025,6,14,24e9,20250614_003125_14_24e9
2025,5,17,2417,20250517_234928_66_2417
2025,4,8,2506,20250408_002155_30_2506
2025,3,7,24a7,20250307_233653_40_24a7
2025,2,19,2539,20250219_002808_50_2539
2025,1,9,24bf,20250109_233723_05_24bf
2024,12,7,24e5,20241207_001223_95_24e5
2024,11,9,2507,20241109_001837_25_2507
2024,10,4,24aa,20241004_001106_94_24aa
2024,9,3,251c,20240903_001724_14_251c
2024,8,6,24aa,20240806_001108_09_24aa
2024,7,12,24f8,20240712_001305_39_24f8
2024,6,7,24e5,20240607_000749_84_24e5
2024,5,14,24e8,20240514_000843_67_24e8
2024,4,3,2486,20240403_000448_30_2486
2024,3,19,24d0,20240319_231713_31_24d0
2024,2,26,24ba,20240226_231537_42_24ba
2024,1,27,24e6,20240127_001240_76_24e6
2023,12,18,24c7,20231218_231332_80_24c7
2023,11,10,242e,20231110_231221_53_242e
2023,10,12,2475,20231012_235250_49_2475
2023,9,10,2426,20230910_000822_44_2426
2023,8,6,24ce,20230806_231123_30_24ce
2023,7,6,24a8,20230706_231126_50_24a8
2023,6,16,2458,20230616_230738_24_2458
2023,5,26,242b,20230526_230320_51_242b
2023,4,18,24c0,20230418_230938_25_24c0
2023,3,10,2413,20230310_235909_57_2413
2023,2,11,24a5,20230211_234024_34_24a5
2023,1,7,2414,20230107_235022_40_2414
